dhf,dlf,whf,wlf,dha,dla,dhw,dlw,whw,wlw,hr
17.25,19.25,20.75,25,17.75,18.5,17,18.5,21.5,23.75,12.36666667
17,19.25,20.75,25,17.75,18,17,18.5,20.5,23.75,12.53333333
17.25,19.25,20.75,25,17.75,18.5,17,18.5,20,23.75,12.7
17.25,19.25,20.75,25,17.75,18.5,17,18.5,21,23.75,12.86666667
17.25,19.25,20.75,25,17.75,18.5,17,18.5,21.5,23.75,13.03333333
17.25,19.25,20.75,24.25,17.75,18.5,17,18.5,22.75,23.75,13.2
17,18.25,20.75,24.75,15.75,18.5,17,18.5,20.5,23.75,13.36666667
17,17.25,20.75,24.75,16.25,18.25,17,18,20.75,23.75,13.53333333
17,16.25,20.75,24.75,17.25,18,17,18.5,21.25,23.75,13.7
17,16.25,20.75,24.75,17.25,18.5,17,18,21,23.75,13.86666667
16.75,16.25,20.75,25,17.25,18,17,18,20,23.75,14.03333333
16.75,16.25,20.75,25,17.25,18.5,16.75,18,20.5,23.75,14.2
16.75,16.25,20.75,25,17.25,18,17,18.25,21.5,23.75,14.36666667
16.75,16.25,20.75,24.75,17.25,18,17,18,21.25,23.75,14.53333333
16.75,16.25,20.75,25,17.25,18,17,18,20,23.75,14.7
16.5,16.25,20.75,25,17.25,17.5,17,18.25,20.25,23.75,14.86666667
16.75,16.25,20.5,24.75,17.25,18,17,18,21.5,23.75,15.03333333
16.5,16.25,20.75,24.75,17.25,17.5,17,18,21.75,23.75,15.2
16.25,16.25,20.75,25,17.25,18,17,18,20.5,23.75,15.36666667
16.25,16.25,20.75,24.75,17.25,17.5,17,18,20,23.75,15.53333333
16.25,16.25,20.75,24.75,17.25,17.5,17,18,20.25,23.75,15.7
16.25,16.25,20.5,24.75,17.25,17.5,17,18,21.5,23.75,15.86666667
16.25,16.25,20.5,24.75,17.25,17.5,17,18,21.75,23.75,16.03333333
16.25,16.25,20.5,24.75,17.25,17,17,17.5,20.5,23.75,16.2
16.25,16.25,20.5,24.75,17.25,17.5,17,18,20.25,23.75,16.36666667
16,16.25,20.5,24.75,17.25,17.5,17,18,21.25,23.75,16.53333333
16.25,16.25,20.25,24.75,17.25,17,17,17.5,21.75,23.75,16.7
16.25,16.25,20.25,25,17.25,17,17,18,20.5,23.75,16.86666667
16,16.25,20.25,24.25,17.25,17,17,18,20,23.75,17.03333333
16,15.25,20.25,23,14.75,17,17,17.5,21,23.75,17.2
15.75,15.75,20.25,22.5,15.25,17,17,17.75,21.75,23.75,17.36666667
15.75,15.75,20.25,22.5,16.25,17,17,18,21,23.75,17.53333333
15.75,15.75,20.25,22.5,16.25,17,17,17.5,20,23.75,17.7
15.75,15.75,20.25,22.5,15.75,16.5,16.75,17.5,21,23.75,17.86666667
15.75,15.75,20.25,22.5,15.75,17,17,17.5,21.75,23.75,18.03333333
15.75,15.75,20.25,22.5,15.75,17,17,17.5,21,23.75,18.2
15.75,15.75,20.25,22.5,15.75,16.75,17,17.25,20,23.75,18.36666667
15.75,15.75,20.25,22.5,15.75,17,17,17.25,20.75,23.75,18.53333333
15.75,15.75,20.25,22.5,15.75,16.5,17,17,21.5,23.75,18.7
15.75,15.75,20.25,22.5,15.75,16.5,17,17,21.25,23.75,18.86666667
15.75,15.75,20.25,22.5,15.75,16.5,17,17,20.5,23.75,19.03333333
15.75,15.75,20.25,22.5,15.75,17,17,17.25,20.75,23.75,19.2
15.5,15.75,20.25,22.5,15.75,16.5,17,17.5,21.5,23.75,19.36666667
15.75,15.75,20.25,22.5,15.75,16.5,17,17,21.25,23.75,19.53333333
15.75,15.75,20.25,22.5,15.75,17,17,17,20.5,23.75,19.7
15.5,15.75,20.25,22.5,15.75,16.5,17,17.25,20.5,23.75,19.86666667
15.5,15.75,20.25,22.5,15.75,16.5,17,16.75,21.5,23.75,20.03333333
15.75,15.25,20.25,22.5,15.75,17,17,16.5,21.75,23.75,20.2
15.5,17,20.25,22.25,15.75,16.5,17,17,21,23.75,20.36666667
15.75,17.25,20.25,24,15.75,16.5,17,17,20,23.75,20.53333333
15.25,17.25,20,25,18.25,16.5,17,16.5,21,23.75,20.7
15.5,17.25,20,25,18.25,17,17,16.5,22,23.75,20.86666667
15.25,17.25,20,24.25,17.25,16.5,17,16.5,21.25,23.75,21.03333333
15.25,17.75,20,24.5,17.5,17,17,16.5,20.25,23.75,21.2
15.75,19.25,20,24.75,18.75,16.5,17,17,20.75,23.75,21.36666667
