"","Experiment","Treatment","Day","Strain","Plate","Well","Reading","adjusted"
"1",3,"13C",0,"QLD","B","5B",0.043,1e-05
"2",3,"13C",0,"QLD","B","5C",0.042,0.00100999999999999
"3",3,"13C",0,"QLD","B","5D",0.044,0.00101
"4",3,"13C",0,"QLD","B","5E",0.045,0.00201
"5",3,"13C",0,"QLD","B","5F",0.043,1e-05
"6",3,"13C",0,"QLD","B","5G",0.042,0.00100999999999999
"7",3,"13C",0,"QLD","B","6B",0.042,0.00100999999999999
"8",3,"13C",0,"QLD","B","6C",0.043,1e-05
"9",3,"13C",0,"QLD","B","6D",0.044,0.00101
"10",3,"13C",0,"QLD","B","6E",0.044,0.00101
"11",3,"13C",0,"QLD","B","6F",0.043,1e-05
"12",3,"13C",0,"QLD","B","6G",0.042,0.00100999999999999
"13",3,"13C",0,"QLD","B","7B",0.042,0.00100999999999999
"14",3,"13C",0,"QLD","B","7C",0.044,0.00101
"15",3,"13C",0,"QLD","B","7D",0.043,1e-05
"16",3,"13C",0,"QLD","B","7E",0.043,1e-05
"17",3,"13C",0,"QLD","B","7F",0.042,0.00100999999999999
"18",3,"13C",0,"QLD","B","7G",0.042,0.00100999999999999
"19",3,"13C",0,"QLD","C","8B",0.042,0.00100999999999999
"20",3,"13C",0,"QLD","C","8C",0.042,0.00100999999999999
"21",3,"13C",0,"QLD","C","8D",0.044,0.00101
"22",3,"13C",0,"QLD","C","8E",0.046,0.00301
"23",3,"13C",0,"QLD","C","8F",0.043,1e-05
"24",3,"13C",0,"QLD","C","8G",0.042,0.00100999999999999
"25",3,"13C",0,"QLD","C","9B",0.042,0.00100999999999999
"26",3,"13C",0,"QLD","C","9C",0.042,0.00100999999999999
"27",3,"13C",0,"QLD","C","9D",0.043,1e-05
"28",3,"13C",0,"QLD","C","9E",0.044,0.00101
"29",3,"13C",0,"QLD","C","9F",0.043,1e-05
"30",3,"13C",0,"QLD","C","9G",0.042,0.00100999999999999
"31",3,"13C",0,"QLD","C","10B",0.042,0.00100999999999999
"32",3,"13C",0,"QLD","C","10C",0.044,0.00101
"33",3,"13C",0,"QLD","C","10D",0.043,1e-05
"34",3,"13C",0,"QLD","C","10E",0.043,1e-05
"35",3,"13C",0,"QLD","C","10F",0.042,0.00100999999999999
"36",3,"13C",0,"QLD","C","10G",0.042,0.00100999999999999
"37",3,"26C",0,"QLD","A","2B",0.041,0.00200999999999999
"38",3,"26C",0,"QLD","A","2C",0.042,0.00100999999999999
"39",3,"26C",0,"QLD","A","2D",0.042,0.00100999999999999
"40",3,"26C",0,"QLD","A","2E",0.043,1e-05
"41",3,"26C",0,"QLD","A","2F",0.042,0.00100999999999999
"42",3,"26C",0,"QLD","A","2G",0.042,0.00100999999999999
"43",3,"26C",0,"QLD","A","3B",0.041,0.00200999999999999
"44",3,"26C",0,"QLD","A","3C",0.042,0.00100999999999999
"45",3,"26C",0,"QLD","A","3D",0.043,1e-05
"46",3,"26C",0,"QLD","A","3E",0.044,0.00101
"47",3,"26C",0,"QLD","A","3F",0.043,1e-05
"48",3,"26C",0,"QLD","A","3G",0.042,0.00100999999999999
"49",3,"26C",0,"QLD","A","4B",0.042,0.00100999999999999
"50",3,"26C",0,"QLD","A","4C",0.042,0.00100999999999999
"51",3,"26C",0,"QLD","A","4D",0.043,1e-05
"52",3,"26C",0,"QLD","A","4E",0.043,1e-05
"53",3,"26C",0,"QLD","A","4F",0.042,0.00100999999999999
"54",3,"26C",0,"QLD","A","4G",0.043,1e-05
"55",3,"26C",0,"QLD","B","5B",0.042,0.00100999999999999
"56",3,"26C",0,"QLD","B","5C",0.043,1e-05
"57",3,"26C",0,"QLD","B","5D",0.044,0.00101
"58",3,"26C",0,"QLD","B","5E",0.045,0.00201
"59",3,"26C",0,"QLD","B","5F",0.043,1e-05
"60",3,"26C",0,"QLD","B","5G",0.042,0.00100999999999999
"61",3,"26C",0,"QLD","B","6B",0.043,1e-05
"62",3,"26C",0,"QLD","B","6C",0.045,0.00201
"63",3,"26C",0,"QLD","B","6D",0.044,0.00101
"64",3,"26C",0,"QLD","B","6E",0.044,0.00101
"65",3,"26C",0,"QLD","B","6F",0.043,1e-05
"66",3,"26C",0,"QLD","B","6G",0.042,0.00100999999999999
"67",3,"26C",0,"QLD","B","7B",0.042,0.00100999999999999
"68",3,"26C",0,"QLD","B","7C",0.044,0.00101
"69",3,"26C",0,"QLD","B","7D",0.045,0.00201
"70",3,"26C",0,"QLD","B","7E",0.043,1e-05
"71",3,"26C",0,"QLD","B","7F",0.043,1e-05
"72",3,"26C",0,"QLD","B","7G",0.042,0.00100999999999999
"73",3,"23C",0,"QLD","A","2B",0.042,0.00100999999999999
"74",3,"23C",0,"QLD","A","2C",0.042,0.00100999999999999
"75",3,"23C",0,"QLD","A","2D",0.043,1e-05
"76",3,"23C",0,"QLD","A","2E",0.043,1e-05
"77",3,"23C",0,"QLD","A","2F",0.044,0.00101
